Q1,CAS_1,CAS_2,CAS_3,CAS_4,CAS_5,MDI_1,MDI_2,MDI_3,MDI_4,MDI_5,MDI_6,MDI_7,MDI_8,MDI_9,MDI_10,MDI_11,MDI_12,PSS_1,PSS_2,PSS_3,PSS_4,PSS_5,PSS_6,PSS_7,PSS_8,PSS_9,PSS_10,Q1,Q1_3_TEXT,Q2,Q3,Q3_7_TEXT,Q4,Q4_9_TEXT,Q5,Q6,Q6_9_TEXT,Q7,Q8,Q9,Q10,Q10_3_TEXT,Q11,Q11_7_TEXT,Q12,Q13,Q13_6_TEXT,Q14,Q15,Q16,Q17A,Q17B,Q18,Q19A,Q19B,Q20A,Q20B,Q21,Q22,Q23,Q24,Q25,Q26A,Q26B,Q26C,Q26D
5,1,2,1,1,1,3,2,5,6,6,3,2,2,4,5,3,5,4,4,5,2,3,4,2,3,4,4,1,,2,6,,2,,1,1,,2,3,2,1,,2,,2,1,,2,2,1,2,2,2,5,1,4,3,2,1,6,2,1,4,,,3
5,1,1,1,1,1,5,6,3,5,6,6,4,5,4,2,5,5,2,3,3,4,3,2,4,3,3,2,1,,2,1,,2,,2,6,,2,6,2,1,,4,,2,3,,4,2,2,3,1,2,4,2,4,1,2,1,6,1,2,4,,,4
5,2,2,3,1,2,4,2,4,4,2,2,6,6,6,4,4,3,3,3,3,3,3,3,3,3,3,4,1,,2,6,,4,,1,4,,2,4,2,2,,2,,1,3,,2,2,3,4,1,2,2,2,2,2,2,2,6,1,1,4,,,3
5,2,3,1,1,2,5,4,3,5,6,6,2,2,4,3,5,6,2,4,5,3,2,4,4,3,2,2,2,,2,1,,4,,2,9,I am a transfer so I‰Ûªm not too sure exactly what year I am considered,1,11,2,1,,1,,2,3,,3,2,1,2,4,2,2,2,2,2,1,1,6,2,1,4,,,2
5,1,1,1,1,2,4,5,5,5,5,6,5,5,6,5,5,6,2,2,3,4,4,2,4,4,3,2,2,,2,6,,4,,1,1,,2,13,2,1,,2,,2,1,,2,2,1,3,3,1,3,2,4,3,2,2,6,3,1,1,3,2,
5,2,4,3,3,4,1,2,4,1,1,1,1,1,1,1,2,5,4,5,5,3,2,4,2,2,4,5,2,,2,1,,7,,2,6,,2,5,2,1,,4,,2,3,,1,2,1,4,1,2,5,2,3,1,2,2,2,1,1,4,,,3
5,3,3,,4,3,2,2,2,1,1,4,,2,2,3,3,5,4,4,5,3,3,4,2,2,5,5,2,,2,6,,7,,1,3,,2,9,2,1,,2,,2,2,,2,2,1,4,3,1,4,2,2,1,2,2,1,3,2,4,,,3
5,1,1,1,1,1,5,6,5,6,6,6,5,6,6,6,5,6,3,1,2,5,4,3,3,4,2,3,1,,2,6,,2,,1,7,,2,4,1,1,,2,,2,1,,1,2,1,3,2,2,5,3,2,3,2,2,6,2,1,4,,,3
5,1,1,1,1,1,3,4,3,2,5,5,2,2,2,5,2,6,3,4,4,2,2,4,3,1,4,2,2,,2,6,,7,,1,2,,2,11,2,1,,4,,2,3,,2,2,1,3,1,2,5,3,4,1,2,2,6,1,1,4,,,4
5,1,1,1,1,1,3,3,2,2,3,5,2,3,4,2,3,6,4,4,5,2,1,3,3,2,3,4,1,,2,6,,2,,1,4,,2,4,1,1,,3,,2,3,,1,2,1,2,2,1,6,1,2,2,1,1,6,3,2,4,,,4
5,3,5,3,4,4,1,1,1,1,1,3,1,1,1,1,3,4,5,5,5,1,1,5,1,1,5,5,2,,2,6,,7,,1,3,,2,12,2,1,,1,,2,2,,2,2,1,4,1,2,2,2,4,1,1,1,4,1,1,2,2,2,
5,1,3,2,1,1,2,3,3,5,6,5,2,4,5,6,6,6,3,3,5,3,4,3,3,2,3,4,2,,2,5,,8,,1,4,,2,10,2,1,,4,,2,3,,8,2,1,4,1,2,7,3,3,3,2,2,1,1,2,4,,,3
5,1,1,1,1,1,4,2,1,1,2,2,1,1,1,1,5,4,3,3,5,2,2,4,2,2,3,3,1,,2,6,,4,,1,2,,2,12,2,2,,2,,2,2,,2,2,1,2,3,2,4,2,3,2,2,2,6,1,2,4,,,3
5,1,2,2,2,2,1,1,1,1,3,1,1,1,1,2,5,2,4,5,5,3,3,5,3,2,5,5,2,,2,5,,2,,1,4,,2,10,2,1,,2,,2,2,,2,2,1,3,3,1,4,3,3,2,2,1,3,1,2,4,,,4
5,1,1,1,1,1,2,6,2,3,3,4,2,2,2,1,5,1,3,1,3,4,1,3,3,1,4,2,2,,2,6,,8,,1,1,,1,5,2,1,,3,,2,2,,2,2,1,4,1,2,1,2,2,3,2,2,3,1,1,4,,,3
5,1,1,1,1,1,2,5,3,6,3,3,2,2,4,2,6,5,4,2,5,2,2,5,2,3,5,4,1,,2,1,,7,,3,3,,2,4,2,1,,5,,2,3,,4,1,3,2,1,2,2,2,1,3,2,1,1,2,1,4,,,1
5,1,1,1,1,1,4,4,4,5,6,5,2,2,2,4,2,5,3,3,4,3,4,3,4,3,3,4,2,,2,6,,7,,1,2,,2,,2,1,,2,,1,3,,2,2,1,2,1,2,4,2,4,3,2,2,1,1,1,4,,,4
5,1,1,1,1,1,3,6,6,5,5,6,6,6,6,6,6,6,5,5,,3,3,3,2,3,5,2,2,,2,6,,8,,1,4,,2,9,2,1,,3,,2,2,,2,2,1,2,1,2,5,3,4,3,2,2,6,3,1,4,,,4
5,1,2,1,1,1,2,4,2,4,5,5,5,5,4,5,6,5,3,4,3,3,2,3,2,2,3,2,2,,2,6,,4,,1,3,,2,7,2,2,,4,,2,2,,2,2,1,2,3,2,8,1,1,3,2,2,6,1,1,4,,,4
5,1,1,2,1,3,1,1,1,2,5,2,2,2,3,1,1,6,3,4,5,1,2,5,3,1,2,4,2,,2,6,,8,,1,2,,1,9,1,1,,2,,2,2,,6,2,1,1,4,2,3,3,2,1,1,1,6,1,1,4,,,3
5,3,3,1,1,1,5,1,5,2,5,6,3,4,3,5,5,5,3,4,3,4,3,1,3,2,3,3,1,,2,6,,7,,1,2,,1,1,1,1,,2,,2,3,,2,2,1,2,1,1,6,3,1,3,2,2,6,2,1,1,1,1,
5,1,1,1,1,1,3,6,6,6,6,3,5,6,6,6,6,6,3,3,4,3,4,3,3,3,4,2,1,,2,6,,7,,1,1,,2,1,2,1,,3,,2,1,,2,2,1,1,4,1,4,2,2,1,2,2,6,2,2,4,,,4
5,3,3,5,4,4,2,2,1,2,3,5,1,1,1,2,5,2,3,3,5,3,3,2,3,3,4,4,2,,2,1,,2,,2,3,,2,10,2,1,,3,,2,3,,4,1,2,4,1,2,4,2,2,2,1,1,1,1,1,4,,,2
5,1,1,1,1,3,3,3,3,3,3,6,3,3,3,3,6,5,4,4,5,3,3,4,3,3,4,4,2,,2,6,,7,,2,7,,2,7,2,1,,3,,2,2,,1,2,1,4,3,2,4,2,4,1,2,1,3,2,1,4,,,3
5,1,2,1,1,1,1,3,3,1,6,5,2,2,3,1,5,6,3,4,4,2,2,3,3,2,3,4,2,,2,6,,4,,1,1,,1,3,2,1,,2,,2,2,,7,2,1,3,4,2,5,2,4,2,2,1,6,2,2,4,,,4
5,2,2,3,2,2,5,5,5,4,5,6,6,5,6,5,6,5,3,3,3,3,3,3,3,3,3,3,2,,2,6,,2,,1,2,,2,11,2,1,,4,,2,2,,2,2,1,3,1,1,4,2,4,1,2,1,3,2,1,1,2,2,
5,2,2,3,3,2,2,2,2,2,2,2,2,2,2,5,4,4,3,3,5,3,3,3,2,2,5,5,3,Gender fluid,1,6,,4,,1,3,,2,5,2,1,,2,,2,2,,2,2,1,3,3,1,2,2,3,3,2,1,1,1,2,4,,,2
5,1,2,1,1,2,4,3,2,2,1,4,1,1,3,4,4,6,3,2,4,2,3,4,3,1,4,5,3,nonbinary,1,6,,7,,1,4,,2,4,2,1,,2,,2,3,,2,2,1,2,1,1,4,1,2,1,2,2,3,2,2,4,,,4
5,1,1,1,1,1,5,6,5,4,5,6,5,4,5,5,5,6,3,2,4,4,3,3,3,3,4,3,2,,2,6,,2,,1,6,,2,13,2,1,,1,,2,2,,2,2,1,1,4,1,4,3,1,3,2,1,6,4,2,4,,,3
5,1,1,1,1,1,6,6,6,6,6,6,5,5,6,5,,6,1,1,2,5,5,1,4,5,1,1,2,,2,1,,2,,3,4,,1,13,2,1,,3,,2,3,,4,1,3,3,2,2,6,3,2,3,2,2,3,3,1,1,1,1,
5,2,3,3,3,3,4,4,3,3,2,6,2,3,2,2,2,5,4,3,5,3,3,4,3,2,5,3,2,,2,6,,8,,1,2,,2,9,2,1,,3,,2,2,,2,2,1,3,1,2,5,1,3,1,2,1,6,3,1,4,,,3
5,1,1,1,1,1,3,5,5,5,6,5,5,4,5,3,5,6,2,3,4,3,3,3,2,3,2,2,1,,2,6,,2,,1,3,,2,9,2,1,,3,,2,2,,2,2,1,2,1,1,3,2,4,1,1,1,6,3,1,1,4,2,
5,1,3,2,2,2,1,2,1,1,1,2,2,2,2,1,1,5,5,5,4,3,3,3,3,2,2,5,2,,2,6,,2,,1,2,,2,12,2,1,,4,,2,2,,2,2,1,4,1,1,2,3,3,3,1,1,2,2,2,4,,,3
5,2,2,2,2,2,1,2,4,3,3,1,2,4,4,2,6,5,5,4,5,2,2,4,3,1,3,5,2,,2,6,,4,,1,3,,2,9,2,1,,2,,2,2,,2,2,1,4,1,2,4,2,2,1,2,1,1,1,1,4,,,1
5,1,2,1,1,3,4,4,2,3,5,6,1,2,2,2,6,4,4,4,4,4,3,4,2,2,4,3,2,,2,1,,7,,2,3,,2,12,2,2,,7,Stay at home mom of 2 toddlers,2,2,,4,1,3,4,2,2,3,3,3,2,2,1,2,3,2,4,,,3
5,1,1,1,1,1,5,5,5,5,6,6,5,5,6,5,5,5,1,1,2,4,5,1,5,4,1,1,2,,2,6,,5,,1,7,,2,12,2,1,,3,,2,2,,4,2,1,2,2,1,8,1,3,1,2,2,6,3,2,4,,,4
5,1,2,1,1,1,3,4,3,5,5,5,2,4,5,3,4,5,3,3,4,3,3,3,2,3,4,3,3,Non-binary ,1,6,,7,,2,5,,2,5,2,1,,3,,2,2,,4,2,1,2,2,1,7,1,2,2,2,2,3,4,1,4,,,2
5,1,3,2,1,1,3,5,3,5,5,6,5,5,5,5,6,6,1,1,3,5,4,1,5,4,3,3,1,,2,6,,7,,1,3,,2,4,2,1,,3,,2,1,,2,2,1,3,1,1,5,3,3,3,2,2,6,2,2,4,,,4
5,1,2,2,1,1,5,3,3,4,6,6,3,4,3,2,6,6,3,3,4,4,3,4,4,3,4,5,2,,2,6,,4,,1,4,,2,9,2,1,,1,,2,2,,3,2,1,2,1,1,4,2,2,3,2,2,6,2,1,2,3,2,
5,1,1,1,1,1,5,5,3,2,5,6,2,2,5,6,6,2,2,5,5,3,2,5,1,2,4,4,2,,2,5,,7,,2,7,,2,9,2,1,,7,Graduate Assistantship,2,3,,1,2,1,2,2,1,8,1,4,1,2,2,6,1,1,4,,,4
5,1,3,1,1,1,2,5,5,6,4,6,4,4,5,2,6,3,3,4,4,4,3,2,3,3,2,2,2,,2,6,,7,,3,6,,2,3,2,1,,2,,2,3,,4,2,1,,,2,5,2,1,2,2,1,6,1,1,4,,,1
5,1,1,1,1,1,4,5,5,3,2,6,2,5,5,5,5,6,3,2,3,5,4,2,3,3,5,3,1,,2,6,,2,,1,2,,2,3,2,1,,3,,2,2,,7,2,1,2,2,2,6,2,2,1,2,2,6,4,2,4,,,3
5,1,1,1,2,1,5,6,5,4,5,6,3,5,4,5,2,5,3,2,5,5,3,3,3,3,3,3,1,,2,6,,2,,1,2,,2,3,2,1,,3,,2,2,,4,2,1,3,2,2,4,3,4,1,1,1,3,3,1,4,,,4
5,2,1,1,1,1,5,3,1,5,1,5,1,5,5,6,6,5,4,5,3,1,1,4,1,1,4,3,2,,2,6,,7,,2,5,,2,3,2,1,,4,,2,2,,3,2,1,1,3,2,6,3,1,3,2,2,2,1,1,4,,,1
5,1,3,2,1,1,3,3,4,5,3,3,2,5,4,4,5,5,3,3,5,3,3,4,3,2,3,3,2,,2,6,,7,,1,5,,2,12,2,2,,1,,2,2,,6,2,1,3,1,2,3,2,2,2,2,2,6,1,1,2,2,2,
5,1,3,2,1,1,2,3,1,3,3,1,1,2,1,1,3,5,3,5,5,3,1,3,3,2,2,4,2,,2,6,,4,,1,3,,2,1,2,2,,1,,2,3,,3,2,1,3,1,2,3,2,3,2,2,1,6,2,1,1,1,2,
5,2,3,3,3,3,3,5,6,2,3,6,3,3,3,4,3,6,3,4,5,3,3,3,3,2,4,4,2,,2,6,,7,,1,1,,2,12,2,1,,2,,1,2,,2,2,1,2,4,2,4,2,4,1,2,2,6,2,1,4,,,2
5,2,1,1,1,2,5,3,4,6,6,6,3,3,5,5,6,6,2,1,3,4,4,3,4,4,2,2,1,,2,6,,2,,1,2,,2,4,2,1,,2,,2,2,,2,2,1,2,2,2,6,3,2,1,2,2,6,3,2,4,,,3
5,1,2,3,2,3,3,3,2,2,1,6,3,4,3,5,5,3,5,5,5,2,3,4,2,3,5,4,2,,2,5,,4,,1,3,,2,13,2,1,,3,,2,2,,6,2,1,2,2,2,7,1,2,2,2,1,6,2,2,4,,,3
5,1,2,1,1,2,5,4,4,4,3,6,4,4,5,2,4,6,3,2,3,3,2,2,2,2,3,2,2,,2,6,,7,,1,4,,2,13,2,1,,2,,2,2,,2,2,1,2,2,2,4,2,1,3,2,1,2,1,2,4,,,2
5,1,2,2,1,1,4,5,6,5,5,6,4,5,5,3,3,5,4,3,4,4,3,2,4,2,3,3,2,,2,5,,8,,1,1,,2,1,2,1,,2,,2,2,,2,2,1,1,4,2,6,3,3,3,2,1,6,1,1,2,2,2,
5,1,2,1,1,1,3,3,3,3,3,6,3,5,4,4,5,5,3,3,4,3,3,3,4,,4,1,2,,2,6,,7,,2,7,,2,12,2,1,,1,,2,3,,1,2,1,2,2,1,4,2,3,3,2,1,6,2,1,2,3,2,
5,1,2,1,1,1,6,6,5,4,2,1,1,2,4,2,6,1,3,4,4,3,4,1,3,5,5,4,2,,2,5,,4,,1,1,,2,7,2,2,,2,,2,2,,4,2,1,1,4,2,8,3,3,3,1,2,5,1,2,4,,,4
5,1,1,2,1,1,3,4,4,4,5,5,3,3,5,3,5,5,3,3,4,4,3,4,4,3,3,2,2,,2,6,,7,,1,4,,2,1,2,1,,2,,2,2,,6,2,1,3,3,2,6,1,4,3,2,2,6,1,1,2,3,2,
5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,6,5,6,3,3,3,3,3,2,2,2,1,2,1,,2,6,,3,,1,1,,2,4,1,1,,4,,2,1,,2,2,1,1,1,1,4,3,3,1,2,2,3,1,2,4,,,3
5,1,2,2,1,1,2,5,2,2,1,3,4,1,3,1,4,3,2,1,4,3,3,2,3,3,2,3,1,,2,6,,8,,1,3,,1,13,2,1,,1,,2,2,,2,2,1,3,3,1,4,3,3,3,2,2,3,3,1,4,,,4
5,1,1,1,1,1,2,3,3,4,3,5,2,2,2,2,3,6,3,3,5,2,3,3,2,3,2,4,2,,2,6,,7,,1,4,,2,9,2,1,,2,,1,2,,2,2,1,2,1,1,4,1,3,3,2,1,6,1,1,4,,,1
5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,6,4,4,5,2,2,5,2,2,5,5,1,,2,6,,7,,1,5,,2,1,2,1,,3,,2,2,,2,2,1,1,2,1,6,1,3,1,2,2,1,1,1,4,,,3
5,2,2,2,1,2,5,6,5,5,5,6,6,5,6,5,6,6,4,4,5,4,3,2,5,4,3,3,1,,2,6,,4,,1,2,,2,4,2,1,,3,,2,2,,6,2,1,3,1,2,7,1,3,1,2,1,6,1,1,4,,,3
5,2,1,4,1,1,4,4,5,3,2,4,5,6,3,5,4,4,2,3,3,3,3,2,4,4,4,4,1,,2,6,,2,,1,3,,2,6,1,1,,3,,2,3,,1,2,3,3,1,1,8,1,4,1,1,1,6,1,2,2,3,2,
5,1,1,1,1,1,3,2,2,2,3,6,2,5,3,5,3,6,2,3,4,3,2,3,3,3,3,2,2,,2,6,,4,,1,4,,2,3,2,1,,2,,2,2,,6,2,1,1,1,2,4,3,3,1,2,2,6,1,1,1,2,2,
5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,6,6,6,3,2,5,3,3,2,3,3,3,2,2,,2,6,,8,,1,1,,2,10,2,1,,3,,2,2,,4,2,1,3,4,1,3,3,4,2,2,2,6,2,2,4,,,4
5,1,1,2,1,1,2,2,1,2,5,1,2,5,1,3,5,6,2,3,4,3,2,3,3,3,4,2,2,,2,6,,4,,1,2,,2,12,2,2,,2,,2,3,,2,2,1,3,1,2,3,2,4,3,2,2,3,1,1,4,,,2
5,1,1,1,1,1,1,2,1,1,1,3,1,3,1,5,1,6,3,3,5,1,3,3,3,2,2,4,2,,2,6,,2,,2,7,,2,12,2,1,,1,,2,3,,1,2,1,1,4,1,3,2,4,1,2,2,6,2,2,4,,,1
5,1,2,1,1,1,4,5,5,5,6,6,3,3,6,3,6,6,3,4,4,3,4,3,3,3,3,2,2,,2,6,,4,,1,3,,2,6,2,1,,2,,2,1,,2,2,1,3,1,2,3,2,2,3,2,2,6,3,1,4,,,3
5,1,3,3,1,1,5,6,6,5,5,6,6,5,6,5,6,6,2,3,4,5,4,2,3,4,3,2,2,,2,6,,7,,3,7,,2,3,2,1,,7,Graduate Assistant,2,3,,1,1,2,1,4,1,6,3,3,3,2,1,4,2,2,4,,,4
5,2,2,1,1,1,1,3,1,4,2,4,1,2,3,3,3,4,3,4,5,2,3,4,4,2,4,4,1,,1,5,,7,,1,2,,2,5,2,1,,3,,2,1,,2,2,1,3,2,2,4,1,4,1,2,1,2,2,2,4,,,3
5,1,2,1,1,2,2,3,1,1,4,1,2,1,3,1,3,5,3,4,5,2,2,4,4,1,4,4,1,,2,6,,4,,1,3,,2,9,2,1,,2,,2,2,,2,2,1,2,1,1,3,2,4,3,2,2,6,2,2,4,,,3
5,1,2,1,1,1,4,6,2,3,4,6,5,5,6,4,5,2,3,4,4,3,3,4,3,2,4,3,2,,2,5,,7,,2,7,,1,8,2,2,,1,,2,3,,3,2,1,1,4,2,6,3,3,1,2,1,6,2,2,1,3,2,
5,1,1,1,1,1,6,5,5,5,5,6,5,6,6,6,6,6,2,2,3,2,4,2,4,3,2,2,1,,2,6,,4,,2,6,,2,1,1,1,,2,,2,3,,1,2,1,2,3,1,5,3,3,1,2,2,3,3,1,4,,,3
5,1,1,1,1,1,2,2,2,4,6,6,5,3,5,5,6,6,2,4,3,3,2,3,4,2,3,3,2,,2,6,,4,,1,2,,2,4,2,1,,3,,2,2,,2,2,1,2,1,1,6,1,3,2,2,1,6,2,2,4,,,4
5,1,1,2,1,1,3,3,3,4,6,6,1,2,2,6,5,4,2,3,3,4,4,2,3,3,3,1,2,,2,6,,4,,1,1,,2,12,2,1,,3,,2,2,,2,2,1,2,4,2,6,3,3,2,2,2,6,2,1,1,3,2,
5,1,1,1,1,1,5,5,5,5,5,5,4,4,4,5,6,4,3,3,4,3,3,3,3,3,3,2,1,,2,6,,7,,2,7,,2,2,2,1,,3,,2,3,,1,2,1,3,1,2,5,2,4,1,2,2,2,1,1,2,1,2,
5,1,1,1,1,1,5,5,5,5,5,6,4,3,5,2,4,6,2,2,4,4,3,3,3,3,3,2,1,,2,6,,7,,2,7,,2,8,2,1,,3,,2,2,,1,2,1,4,2,2,4,1,3,2,2,2,6,2,1,4,,,3
5,1,2,1,1,1,5,6,6,5,6,6,5,6,6,5,6,5,2,1,3,3,4,2,4,3,2,2,2,,2,6,,2,,2,4,,2,12,2,2,,2,,2,3,,4,2,1,3,1,2,4,3,3,3,2,1,6,2,2,4,,,4
5,3,3,5,3,3,2,2,2,3,3,3,1,2,2,1,4,2,4,4,5,2,2,3,2,3,5,5,2,,2,1,,7,,2,3,,1,,2,1,,4,,2,3,,6,1,4,2,2,2,2,2,3,1,1,1,6,1,1,2,3,2,
5,1,1,1,1,1,5,2,1,3,6,6,3,4,4,5,6,6,3,4,4,5,2,3,2,2,3,1,1,,2,5,,4,,1,1,,2,4,2,1,,3,,2,2,,2,2,1,2,1,1,8,1,4,1,2,1,6,2,1,4,,,4
5,1,1,1,1,1,2,3,5,1,4,6,1,1,4,5,6,1,5,5,5,1,3,5,2,1,3,5,2,,2,6,,4,,1,2,,2,9,2,1,,1,,2,2,,2,2,1,3,2,2,3,1,3,1,2,2,3,1,1,4,,,4
5,3,2,2,1,3,3,2,3,4,2,6,3,3,3,5,5,3,3,2,4,3,2,3,4,3,1,3,2,,2,6,,7,,1,3,,1,9,2,1,,3,,2,2,,2,2,1,2,2,2,6,2,3,1,2,2,6,2,2,2,3,2,
5,1,1,1,1,1,2,3,3,1,2,3,2,2,2,5,6,2,3,4,5,2,1,5,2,1,3,5,1,,2,6,,7,,1,3,,2,8,1,1,,3,,2,3,,2,2,1,3,2,1,6,3,4,1,2,2,4,1,1,4,,,3
5,1,1,1,1,1,4,5,4,5,6,6,4,5,5,5,6,6,2,4,3,3,4,2,3,3,4,2,2,,2,6,,7,,1,3,,2,9,2,1,,2,,2,2,,1,2,1,2,1,2,8,1,1,2,2,2,6,2,1,4,,,4
5,1,1,1,1,1,3,5,2,2,5,6,1,1,1,2,6,2,2,2,5,3,1,5,2,1,3,3,2,,2,6,,5,,1,3,,1,1,2,1,,3,,1,2,,4,2,1,3,4,2,7,1,2,2,2,2,6,1,2,4,,,4
5,1,2,2,1,1,1,2,2,1,2,6,1,1,1,2,2,6,2,4,5,2,2,4,2,1,1,5,2,,2,5,,7,,2,3,,2,5,2,1,,3,,2,3,,6,2,1,3,2,2,8,1,1,3,2,1,6,1,1,2,2,2,
